,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,265.5,180.5,71.3,18.2,4.6,62.2,9.7,52.4
Mar-2020,267.7,183.8,76.1,19.1,3.8,61.1,10.1,51.0
Jun-2020,256.2,166.5,84.5,19.1,3.7,66.9,6.1,60.8
Sep-2020,306.7,188.9,110.7,20.3,3.7,93.9,10.0,83.9
Dec-2020,375.7,225.4,143.0,19.9,3.7,126.7,19.5,107.2
Mar-2021,414.3,251.7,154.0,20.5,4.2,137.8,23.0,114.8
Jun-2021,409.1,261.3,140.4,21.9,5.5,120.4,18.9,101.5
Sep-2021,416.2,262.0,146.0,21.8,5.3,127.1,16.8,110.3
Dec-2021,410.6,268.9,134.4,22.8,4.9,113.9,18.6,95.3
Mar-2022,386.9,268.9,110.1,21.7,4.4,91.9,11.4,80.5
Jun-2022,365.8,257.0,102.0,23.4,4.4,81.0,11.6,69.4
