,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,941.9,405.8,455.3,121.5,72.9,341.7,3.0,338.7
Mar-2020,916.7,723.9,85.3,104.8,78.7,9.3,21.8,-12.6
Jun-2020,1025.1,367.5,538.0,116.0,63.0,478.7,13.4,465.3
Sep-2020,623.6,227.9,371.2,108.6,63.0,224.1,8.2,216.0
Dec-2020,696.4,305.8,286.4,111.4,63.9,215.3,10.9,204.4
Mar-2021,626.7,313.4,263.9,102.7,62.8,147.7,3.2,144.5
Jun-2021,679.2,387.1,239.9,115.0,74.1,103.0,3.7,99.3
Sep-2021,788.1,326.7,396.2,117.7,61.5,282.2,8.9,273.2
Dec-2021,773.6,342.8,416.0,117.4,59.9,253.6,0.8,252.8
Mar-2022,740.4,382.0,341.3,85.8,80.8,191.8,5.4,186.4
Jun-2022,1164.9,549.3,614.0,114.2,71.5,430.0,1.6,428.4
