,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1746.8,1774.7,-57.8,43.4,26.4,-97.8,-24.6,-73.1
Mar-2020,1863.9,1716.5,129.3,43.4,26.1,78.0,25.4,52.6
Jun-2020,1624.3,1521.7,92.2,43.7,19.4,39.5,7.7,31.8
Sep-2020,2138.4,1866.4,205.1,44.3,11.2,216.4,45.6,170.8
Dec-2020,2119.3,1969.4,117.0,44.3,6.0,99.6,16.6,83.0
Mar-2021,1801.0,1593.0,134.9,44.2,6.1,157.7,25.7,132.0
Jun-2021,1892.5,1668.4,204.2,44.3,2.0,177.8,40.0,137.8
Sep-2021,2576.0,2187.5,323.5,44.8,2.6,341.1,114.9,226.2
Dec-2021,2596.8,2206.8,360.1,44.9,1.7,343.4,108.7,234.7
Mar-2022,2112.8,1622.7,422.4,44.2,3.2,442.6,150.4,292.3
Jun-2022,3091.6,2525.2,536.2,44.7,3.1,518.6,162.7,355.8
