,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1342.2,1206.9,133.3,77.7,27.7,29.9,2.0,27.9
Mar-2020,1262.6,1148.1,118.3,78.1,27.9,8.5,0.6,8.0
Jun-2020,1280.7,1090.3,189.0,80.1,27.5,82.8,26.7,56.1
Sep-2020,1328.7,1133.4,193.6,74.6,27.6,93.1,27.3,65.8
Dec-2020,1395.8,1187.6,207.0,78.4,28.9,100.9,33.6,67.3
Mar-2021,1570.4,1379.7,189.2,76.9,26.4,87.4,30.2,57.1
Jun-2021,1546.2,1366.7,178.0,77.3,27.5,74.6,16.3,58.3
Sep-2021,1636.9,1426.2,209.2,79.1,26.4,105.2,23.1,82.1
Dec-2021,1588.4,1423.4,161.6,79.0,26.6,59.5,11.6,47.8
Mar-2022,1627.3,1467.3,159.0,82.8,27.6,49.7,14.8,25.2
Jun-2022,2020.0,1836.5,178.2,84.8,28.1,70.7,18.7,52.0
