,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,340.9,214.6,105.9,10.4,1.6,111.2,23.2,88.0
Mar-2020,342.3,226.3,96.5,11.0,1.6,66.2,24.6,41.6
Jun-2020,300.4,175.6,104.6,11.1,1.5,112.2,28.9,83.2
Sep-2020,282.4,204.6,51.6,11.0,1.5,65.4,14.2,51.2
Dec-2020,303.9,204.1,68.2,10.9,1.4,87.5,17.6,69.9
Mar-2021,330.7,236.8,53.2,10.6,1.3,78.7,12.0,66.7
Jun-2021,360.7,220.0,99.7,10.3,1.3,129.0,28.1,101.0
Sep-2021,395.7,245.4,106.3,9.9,1.2,9433.0,1077.3,8355.7
Dec-2021,445.8,291.2,112.1,9.7,1.1,361.7,32.6,329.1
Mar-2022,497.6,327.5,128.0,9.7,1.0,159.5,38.8,120.7
Jun-2022,549.5,344.5,163.1,9.9,1.0,194.2,45.7,148.4
