,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,220.6,196.7,18.6,8.4,2.4,13.1,2.3,10.8
Mar-2020,215.3,185.7,24.8,8.8,3.0,17.9,6.9,11.0
Jun-2020,63.5,69.9,-6.9,7.4,1.6,-15.4,-3.5,-11.9
Sep-2020,189.7,168.2,16.3,7.8,0.8,12.9,3.4,9.4
Dec-2020,336.6,285.6,47.4,9.3,0.9,40.9,10.2,30.7
Mar-2021,476.9,402.0,70.3,9.5,1.2,64.3,15.8,48.5
Jun-2021,292.0,257.5,32.9,7.9,0.6,26.0,6.6,19.4
Sep-2021,330.2,288.0,40.0,8.8,0.2,33.2,8.6,24.6
Dec-2021,437.4,382.5,54.5,8.4,0.3,46.2,11.9,34.3
Mar-2022,594.9,515.0,78.7,10.0,0.7,69.1,17.0,52.1
Jun-2022,536.9,480.3,55.0,9.7,0.2,46.8,12.0,34.8
