,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1075.5,806.0,253.6,88.0,42.6,138.9,35.2,103.7
Mar-2020,918.3,728.4,169.5,91.6,41.0,25.0,3.9,21.0
Jun-2020,393.0,356.2,24.1,90.8,41.9,-95.9,-23.3,-72.6
Sep-2020,836.6,590.8,214.7,103.0,41.2,101.6,24.7,76.9
Dec-2020,1072.8,778.6,278.6,87.6,40.5,166.1,41.0,125.1
Mar-2021,1036.8,776.7,249.2,85.8,37.0,137.3,33.0,104.3
Jun-2021,887.0,667.5,211.5,89.0,41.8,83.1,20.6,62.6
Sep-2021,1110.0,814.7,286.0,90.2,41.6,162.2,40.7,121.5
Dec-2021,1204.4,876.1,317.4,100.6,44.6,183.0,45.7,137.3
Mar-2022,1170.3,868.2,289.7,103.1,45.0,153.6,37.4,116.1
Jun-2022,1250.9,935.7,304.5,105.0,45.9,137.5,36.6,101.0
