,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,4996.5,132.5,4473.3,12.7,3715.2,745.3,147.8,597.5
Mar-2020,4886.9,255.8,4637.1,12.9,3764.2,826.7,405.3,421.4
Jun-2020,4977.5,126.7,4820.5,12.2,3764.5,1017.7,200.2,817.5
Sep-2020,4981.8,157.0,4709.0,12.4,3700.2,1009.3,218.4,790.9
Dec-2020,4924.0,165.7,4560.1,12.6,3595.1,969.6,242.6,727.0
Mar-2021,4964.4,230.1,3760.4,12.3,3392.9,352.0,-46.9,398.9
Jun-2021,4859.0,273.5,3753.2,12.2,3550.0,192.9,39.5,153.4
Sep-2021,4715.0,262.0,3820.7,12.8,3506.0,308.9,61.1,247.9
Dec-2021,5070.4,192.8,4505.9,13.2,3546.9,961.9,194.5,767.3
Mar-2022,5308.6,251.3,4871.4,14.2,3551.8,1314.4,195.8,1118.6
Jun-2022,5291.0,188.2,4789.6,14.7,3640.0,1140.4,214.9,925.5
