,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,35.3,43.7,-11.3,1.7,30.4,-40.5,0.0,-40.5
Mar-2020,26.9,43.5,-17.8,1.7,30.1,-48.3,0.5,-48.8
Jun-2020,20.0,34.0,-16.4,1.7,30.8,-46.5,0.0,-46.5
Sep-2020,29.7,31.1,-2.4,1.7,26.1,-29.2,0.0,-29.2
Dec-2020,35.7,39.0,-4.0,1.6,23.0,-27.8,0.0,-27.8
Mar-2021,42.1,47.1,-9.8,1.6,22.6,-29.2,0.0,-29.2
Jun-2021,32.4,33.6,-5.7,1.5,24.2,-26.9,0.0,-26.9
Sep-2021,40.8,41.0,-1.2,1.4,24.5,-26.1,0.0,-26.1
Dec-2021,52.7,41.8,10.0,1.3,24.6,-15.0,0.0,-15.0
Mar-2022,50.1,45.8,2.1,1.2,25.3,-22.1,0.0,-22.1
Jun-2022,41.6,48.3,-7.6,1.1,27.6,-35.4,0.0,-35.4
