,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,341.9,142.2,143.1,9.1,1.9,188.7,44.8,143.9
Mar-2020,141.9,96.0,158.6,8.3,0.4,37.2,25.4,11.9
Jun-2020,314.2,110.2,105.2,10.3,1.2,192.4,42.8,149.7
Sep-2020,302.4,107.9,132.6,7.7,1.2,185.6,45.0,140.6
Dec-2020,373.8,107.7,143.1,7.6,1.0,257.4,55.7,201.8
Mar-2021,335.2,120.0,159.8,6.9,0.9,207.4,50.0,157.4
Jun-2021,342.2,110.8,170.2,7.2,0.9,223.4,52.1,171.3
Sep-2021,392.0,118.7,185.3,6.4,1.1,265.8,65.4,200.4
Dec-2021,345.7,110.8,204.2,6.3,0.6,228.0,59.1,168.9
Mar-2022,348.5,112.2,201.8,6.9,1.1,228.3,57.7,170.6
Jun-2022,287.9,120.1,174.5,6.7,0.9,160.2,39.3,121.0
