,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,374.3,279.1,40.9,12.9,0.7,81.5,22.6,58.9
Mar-2020,311.4,262.4,39.2,17.1,0.5,31.4,13.7,17.7
Jun-2020,268.1,228.5,38.3,13.6,0.9,25.1,7.6,17.5
Sep-2020,356.2,270.2,71.7,14.2,0.7,71.1,15.3,55.8
Dec-2020,359.5,279.3,57.3,14.6,0.7,64.9,11.6,53.3
Mar-2021,653.8,300.4,53.3,15.0,0.6,337.8,11.1,326.7
Jun-2021,392.4,348.5,43.5,12.3,0.6,31.0,8.9,22.1
Sep-2021,580.1,367.8,43.1,12.3,0.6,199.4,11.0,188.4
Dec-2021,515.1,386.4,80.8,13.1,0.6,115.0,17.9,97.1
Mar-2022,634.2,411.1,103.5,13.5,0.5,209.2,25.3,183.8
Jun-2022,554.0,403.1,73.8,11.3,0.3,139.3,19.2,120.1
