,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,771.0,647.7,108.4,15.2,5.9,102.3,1.3,101.0
Mar-2020,643.4,533.1,96.0,14.6,5.6,90.1,22.8,67.3
Jun-2020,590.8,504.4,73.6,14.3,5.3,66.7,17.0,49.7
Sep-2020,590.9,495.1,81.8,14.2,5.8,75.8,19.1,56.7
Dec-2020,454.4,360.9,79.9,13.4,6.0,74.1,14.0,60.1
Mar-2021,704.8,537.2,158.8,15.0,5.8,146.7,37.3,109.4
Jun-2021,533.9,441.4,84.6,19.2,5.4,67.8,17.6,50.2
Sep-2021,720.9,600.4,111.3,18.9,5.4,96.2,24.7,71.5
Dec-2021,937.7,797.3,129.7,19.0,3.8,117.7,28.6,89.1
Mar-2022,983.8,805.4,168.7,23.1,6.4,148.9,37.3,111.6
Jun-2022,985.4,845.9,130.9,19.0,4.8,115.6,28.8,86.8
