,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,90243.0,73418.0,12958.0,2551.0,2520.0,11754.0,2169.0,9585.0
Mar-2020,77902.0,62613.0,11343.0,2685.0,4161.0,4198.0,1618.0,2580.0
Jun-2020,51672.0,40333.0,7128.0,2174.0,4780.0,8805.0,-948.0,9753.0
Sep-2020,65410.0,53599.0,7647.0,2233.0,4819.0,4759.0,-1787.0,6546.0
Dec-2020,71016.0,58710.0,8690.0,2209.0,3140.0,6841.0,-1787.0,8628.0
Mar-2021,88774.0,75804.0,10173.0,2562.0,3001.0,7407.0,-210.0,7617.0
Jun-2021,94158.0,79110.0,11460.0,2509.0,2351.0,10188.0,1593.0,8595.0
Sep-2021,107187.0,91041.0,12377.0,2705.0,2487.0,10954.0,1726.0,9228.0
Dec-2021,120839.0,103501.0,13895.0,2597.0,2301.0,12440.0,2273.0,10167.0
Mar-2022,137063.0,119410.0,14581.0,2465.0,1984.0,13204.0,2110.0,11094.0
Jun-2022,153874.0,129335.0,22008.0,2251.0,2616.0,19672.0,4576.0,15096.0
