,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1057.1,889.5,147.0,42.5,1.1,124.1,39.6,84.5
Mar-2020,946.7,791.3,137.3,44.4,0.9,110.1,31.7,78.3
Jun-2020,452.9,458.7,-19.8,49.9,0.9,-56.6,-14.2,-42.5
Sep-2020,1133.3,931.0,189.6,48.6,0.9,152.7,39.3,113.5
Dec-2020,1289.3,1044.7,229.1,51.1,2.5,191.0,49.4,141.6
Mar-2021,1338.7,1104.0,212.9,47.9,0.9,186.0,46.4,139.5
Jun-2021,1245.8,1025.8,207.1,48.5,0.9,170.7,42.5,128.1
Sep-2021,1503.3,1223.1,264.5,49.6,1.0,229.6,58.8,170.8
Dec-2021,1545.0,1236.1,287.1,51.2,0.9,256.9,66.2,190.6
Mar-2022,1587.6,1259.0,308.5,50.5,0.8,277.2,70.1,207.1
Jun-2022,1765.0,1427.1,321.7,51.3,0.9,300.7,75.0,225.8
