,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,4288.2,501.9,3339.8,36.3,2119.3,1186.3,307.2,879.2
Mar-2020,4173.0,505.9,2533.8,35.7,2158.8,343.9,120.5,223.4
Jun-2020,4144.7,346.3,2730.0,36.0,2267.2,430.6,110.5,320.1
Sep-2020,4351.3,480.4,3211.9,32.0,2262.9,920.4,235.9,684.6
Dec-2020,4443.1,506.3,3257.3,36.8,2236.3,989.0,261.3,727.7
Mar-2021,4497.9,515.9,3254.4,32.5,2287.8,938.0,183.1,754.9
Jun-2021,4651.5,446.3,2762.2,32.8,2498.1,234.7,64.8,169.9
Sep-2021,4702.8,517.4,3504.3,33.4,2435.2,1040.7,269.4,771.2
Dec-2021,4832.3,492.9,3350.7,34.7,2397.2,923.3,242.7,680.6
Mar-2022,5087.6,537.9,3783.0,34.6,2403.7,1350.6,264.5,1086.1
Jun-2022,5149.3,544.4,3795.3,34.9,2457.9,1306.9,341.6,965.3
