,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,269.2,234.1,34.3,2.1,0.1,32.9,7.3,25.5
Mar-2020,239.1,211.3,26.7,2.1,0.3,25.5,6.5,19.0
Jun-2020,90.2,86.7,2.0,2.1,0.1,1.3,0.3,0.9
Sep-2020,214.4,180.4,32.6,2.2,0.3,31.5,8.1,23.5
Dec-2020,264.2,217.2,45.4,2.2,0.2,44.7,11.1,33.6
Mar-2021,282.9,225.4,54.4,2.5,0.2,54.7,12.2,42.6
Jun-2021,224.6,190.8,32.1,2.2,0.1,31.4,7.6,23.8
Sep-2021,275.8,228.2,45.3,2.4,0.3,45.0,10.9,34.0
Dec-2021,289.0,239.7,47.2,2.2,0.2,46.8,11.7,35.1
Mar-2022,300.3,248.0,50.2,3.2,0.3,48.9,12.9,35.9
Jun-2022,292.4,247.7,42.8,3.3,0.3,41.1,10.1,31.0
