,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,272.9,232.4,39.4,55.6,1.2,-16.3,-4.1,-12.2
Mar-2020,241.9,203.5,36.3,46.6,1.2,-58.2,-0.4,-57.8
Jun-2020,206.6,179.9,16.7,2.5,0.1,24.2,9.8,14.4
Sep-2020,213.2,159.9,35.6,1.8,0.0,51.5,7.9,43.6
Dec-2020,251.6,203.2,47.8,1.4,0.0,46.9,12.7,34.2
Mar-2021,251.2,215.7,33.0,1.4,0.1,73.8,7.5,66.3
Jun-2021,229.6,190.2,36.8,1.5,0.0,37.8,9.3,28.5
Sep-2021,311.0,266.5,27.9,1.6,0.0,42.9,8.3,34.6
Dec-2021,367.9,332.1,32.0,1.7,0.1,34.1,7.5,26.6
Mar-2022,365.7,325.0,36.5,1.7,0.0,39.0,10.1,29.0
Jun-2022,327.3,303.2,20.2,1.7,0.1,22.4,4.8,17.6
