,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,1488.3,1256.6,206.9,29.4,7.2,194.3,51.3,143.0
Mar-2020,1352.0,1174.9,160.4,33.0,6.8,95.9,24.9,70.9
Jun-2020,1651.1,1279.8,325.7,29.6,6.5,314.3,82.0,232.3
Sep-2020,1769.7,1482.4,253.7,30.8,6.5,230.7,61.3,169.4
Dec-2020,1987.8,1765.6,197.1,32.4,7.2,176.1,40.0,136.1
Mar-2021,1878.8,1708.0,142.1,33.4,7.9,115.0,33.4,81.7
Jun-2021,2112.1,1692.0,273.9,34.9,7.7,377.6,73.9,303.7
Sep-2021,2018.5,1718.8,268.7,36.1,7.7,248.8,60.5,188.3
Dec-2021,2054.3,1749.8,280.6,35.7,7.3,252.0,64.5,187.5
Mar-2022,1986.3,1660.8,287.6,35.0,7.2,272.6,66.4,206.2
Jun-2022,2130.8,1770.0,306.8,35.1,7.1,307.4,74.6,232.8
