,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,226.9,100.6,118.8,8.0,1.9,116.5,29.4,87.1
Mar-2020,184.7,127.6,51.9,9.8,3.7,43.2,12.6,30.6
Jun-2020,217.8,118.4,91.7,7.6,1.1,90.7,21.6,69.1
Sep-2020,236.4,109.2,116.7,8.7,2.3,116.2,27.8,88.4
Dec-2020,266.3,134.9,125.5,9.0,2.3,120.2,39.4,80.7
Mar-2021,247.7,106.0,138.2,8.5,2.3,130.8,17.4,113.5
Jun-2021,279.9,121.1,154.6,8.5,2.3,148.0,29.0,119.0
Sep-2021,273.1,120.1,152.4,8.5,2.1,142.4,22.0,120.4
Dec-2021,249.1,116.8,132.2,8.8,2.5,121.0,17.2,103.8
Mar-2022,262.5,136.4,126.0,9.0,2.2,114.9,40.4,74.6
Jun-2022,240.1,119.6,119.8,9.1,2.3,109.1,7.2,102.0
