,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,345.4,251.4,77.7,21.6,6.6,65.9,17.3,48.6
Mar-2020,381.5,256.8,96.2,21.8,8.0,94.9,24.4,70.6
Jun-2020,348.4,229.9,98.5,23.1,6.1,89.2,23.9,65.3
Sep-2020,342.3,231.8,105.0,21.8,5.2,83.5,20.0,63.5
Dec-2020,361.8,232.4,116.4,21.5,5.3,102.6,22.9,79.7
Mar-2021,383.2,257.2,90.7,23.1,5.1,97.8,16.8,81.0
Jun-2021,390.1,264.4,105.8,21.9,5.2,98.6,22.6,76.0
Sep-2021,419.7,302.2,99.6,21.9,6.9,88.7,20.2,68.5
Dec-2021,436.2,315.7,96.1,21.9,4.6,94.0,23.4,70.6
Mar-2022,516.6,330.1,115.0,22.5,15.0,149.0,43.4,105.6
Jun-2022,452.3,347.3,88.1,23.9,4.8,76.3,21.4,54.9
