Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2077.8,2005.6,2161.4,1803.2,1450.2,1654.4,1715.1,1632.3,1012.4,1568,1991.7
Operating Expenses Qtr Cr,1853.8,1780.5,1916.3,1609.5,1330.2,1496.9,1598.2,1490.8,962.3,1507.7,1814.9
Operating Profit Qtr Cr,198.8,187.9,185.2,168.9,94.8,132.2,102.6,121.4,23.4,14.5,138.4
Operating Profit Margin Qtr %,9.68%,9.54%,8.81%,9.50%,6.65%,8.12%,6.03%,7.53%,2.38%,0.95%,7.09%
Depreciation Qtr Cr,25.3,25.7,22.7,26.3,28.4,25.3,29.6,24.7,24.9,27.1,22.4
Interest Qtr Cr,2.8,1.5,3.9,2,1.6,3.2,6.9,2.8,3.8,3.4,4.7
Profit Before Tax Qtr Cr,195.9,491.3,265.3,165.4,90,203.6,80.4,114,23.4,86.6,80
Tax Qtr Cr,48.9,121.2,71.7,45.4,21.6,53,18.2,28.5,6.7,20.6,15.3
Net Profit Qtr Cr,140.3,373.1,188.2,119.9,70.3,141.3,57.6,80.7,16.3,64.6,38.7
Basic EPS Qtr Rs,6.6,17.6,8.9,5.7,3.3,7.1,2.7,4,0.8,3,1.8
