Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1979.3,1978.4,1772.1,1595.6,1537.7,1569,1924.5,1498.1,1409.9,1366.6,1272.8
Operating Expenses Qtr Cr,741.1,765.6,637.6,552.6,457,558.7,423.7,380,296.1,422.3,355.2
Operating Profit Qtr Cr,234.9,171,182.8,200.5,267.1,97.2,209.4,180.6,219.8,132.6,151.6
Operating Profit Margin Qtr %,12.91%,10.26%,12.21%,14.28%,19.73%,7.52%,16.61%,14.90%,18.56%,11.21%,13.64%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,844.2,730.5,676,651.6,629.5,636.5,628,651.8,668.3,628.5,604.8
Profit Before Tax Qtr Cr,355.7,389.1,402.5,387.8,274.7,196,589.2,408.9,264.3,165.2,272.7
Tax Qtr Cr,87.8,43,100.4,109.3,71.5,27.1,110.2,87,63.5,42.9,82.5
Net Profit Qtr Cr,267.9,346.1,302,278.5,203.2,169,479,321.9,200.8,122.3,190.2
Basic EPS Qtr Rs,4.2,11,9.6,8.9,6.5,5.5,15.6,10.5,6.6,4,6.4
