Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,551.4,642.1,594.8,511.6,507.4,452.9,476.2,515.4,476.8,407.2,415.7
Operating Expenses Qtr Cr,496.5,557.4,502.5,441.6,431.5,373.7,374.3,406.2,359.4,339,356.3
Operating Profit Qtr Cr,54.7,84.1,90.7,69.1,74.3,78.4,97.8,109,116.1,67.6,59.3
Operating Profit Margin Qtr %,9.93%,13.11%,15.29%,13.54%,14.68%,17.34%,20.72%,21.15%,24.41%,16.63%,14.27%
Depreciation Qtr Cr,11.8,11.9,11.9,11.8,11.8,11.7,12.1,12,11.9,12,11.8
Interest Qtr Cr,6.8,5.8,5,5.1,4.1,4.3,4.9,7,6.4,7.2,8.1
Profit Before Tax Qtr Cr,36.4,67,75.3,53.1,60,63.2,85.2,90.3,99,57.4,39.5
Tax Qtr Cr,10,14,19.5,12.5,14.5,13,20.5,20.5,26,0.8,12.8
Net Profit Qtr Cr,26.4,53,55.9,40.6,45.5,50.2,64.7,69.8,73,56.6,26.8
Basic EPS Qtr Rs,2.9,5.7,6,4.4,4.9,5.4,6.9,29.9,31.3,24.3,11.5
