Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2549,2218,2380,4961,1551,2229,363.3,146.2,253.2,140.9,929.2
Operating Expenses Qtr Cr,2308,2098,2147,4832,1421,1988,216.5,59.4,164.8,71.4,843.1
Operating Profit Qtr Cr,-141,11,122,16,25,46,16.9,-13.3,-5.1,-15.4,-2.4
Operating Profit Margin Qtr %,-6.51%,0.52%,5.38%,0.33%,1.73%,2.26%,7.24%,-28.72%,-3.21%,-27.53%,-0.28%
Depreciation Qtr Cr,2,2,2,1,2,1,1.1,1,0.9,0.8,0.8
Interest Qtr Cr,107,288,317,78,92,74,74.4,62.3,46.4,55.1,49.7
Profit Before Tax Qtr Cr,132,-170,-86,91,36,153,71.2,23.5,176.1,13.6,35.5
Tax Qtr Cr,0,-54,-7,-10,-1,18,1.5,0.6,38.6,-51.1,9.3
Net Profit Qtr Cr,132,-116,-79,101,37,135,69.7,23,137.5,64.7,26.2
Basic EPS Qtr Rs,0.7,-0.8,-0.6,0.6,0.1,0.8,0.3,0.1,0.8,0.3,0.1
