Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2802.7,2206.3,2895.7,2018.2,798.2,1803.8,2116,1159.4,496.5,1834.3,2576.9
Operating Expenses Qtr Cr,2298.9,1810.1,2317.4,1681.4,935.8,1526.6,1690.5,1020.3,671.3,1661.4,2153.4
Operating Profit Qtr Cr,475.1,371.3,555.3,314.6,-161.8,257,368.4,-1.7,-351.3,156.1,409.1
Operating Profit Margin Qtr %,17.13%,17.02%,19.33%,15.76%,-20.90%,14.41%,17.89%,-0.17%,-109.80%,8.59%,15.97%
Depreciation Qtr Cr,251.8,250.5,237.8,231.1,227.5,247,227.1,237.5,233.4,232.5,220.8
Interest Qtr Cr,88.8,84.9,85.5,86,83.8,119.6,109.5,144,125.3,118.6,104.7
Profit Before Tax Qtr Cr,163.2,60.8,255,19.7,-448.9,-89.3,88.8,-242.4,-533.5,-178.2,98.1
Tax Qtr Cr,39.6,11.1,64.2,5.6,-113.7,45.5,22.4,-61.1,-133.6,-37.9,131.5
Net Profit Qtr Cr,123.6,49.7,190.8,14.1,-335.2,-134.8,66.4,-181.3,-399.9,-140.3,-33.4
Basic EPS Qtr Rs,1.3,0.5,2,0.1,-3.7,-1.5,0.8,-2.3,-5.2,-1.8,-0.4
