Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020
Total Revenue Qtr cr,268.2,340.6,345.6,364.6,328.2,320.9,314.4,286.1
Operating Expenses Qtr Cr,119,124.4,89.7,127.4,115.9,110.8,112.7,111.9
Operating Profit Qtr Cr,180,192.7,237.1,197,179.3,193.3,158.7,138.6
Operating Profit Margin Qtr %,60.19%,60.77%,72.56%,60.74%,60.73%,63.57%,58.46%,55.33%
Depreciation Qtr Cr,8.6,8.7,8.6,8.6,8.7,8.9,9,9.2
Interest Qtr Cr,1.1,1.1,1.1,1.2,1.3,1.2,1.4,1.4
Profit Before Tax Qtr Cr,139.5,206.4,246.2,227.5,202.3,200,191.3,163.7
Tax Qtr Cr,38,50.8,62.7,57.4,50.9,51,47.1,38.5
Net Profit Qtr Cr,101.5,155.6,183.4,170,151.4,149,144.2,125.2
Basic EPS Qtr Rs,3.5,5.4,6.4,5.9,5.3,5.2,5,4.3
