Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1161,1315.9,1234.2,1191.5,1271.4,1161.3,1238.5,1402.8,1258.6,1179.6,1052.7
Operating Expenses Qtr Cr,1033.7,1013,950.1,952.8,992.7,836.2,864,943.9,835.1,752.3,731.2
Operating Profit Qtr Cr,126.6,291.3,282.7,237,277,321,371.8,456.1,423.4,296.3,321.1
Operating Profit Margin Qtr %,10.91%,22.33%,22.93%,19.92%,21.81%,27.74%,30.08%,32.58%,33.64%,28.25%,30.51%
Depreciation Qtr Cr,46.1,45.9,45.3,44.5,43.5,41.8,38.2,36.7,35.8,36.4,34.3
Interest Qtr Cr,8.7,5.9,4.3,4.4,2,2.1,2.2,2.3,6.1,7,6.9
Profit Before Tax Qtr Cr,72.5,251,234.5,189.7,233.2,281,334,419.9,381.6,373.9,280.2
Tax Qtr Cr,0,-0.3,40.9,33.4,40.5,49.9,56.7,71.7,62.9,59.6,49
Net Profit Qtr Cr,72.5,251.4,193.6,156.4,192.7,231.1,277.4,348.3,318.6,314.3,231.2
Basic EPS Qtr Rs,3.7,12.8,9.8,8,9.8,11.8,14.1,18,16.9,16.7,12.3
