Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1935.4,1982.6,2101.3,1879,1228.4,1455.1,1181.5,789.8,349.6,729.2,827.5
Operating Expenses Qtr Cr,1872.8,1812,1886.8,1754,1124.9,1411.4,1034.7,733.1,414.9,976,862.8
Operating Profit Qtr Cr,41.1,153.4,202.2,117.5,98.2,35,139.9,-292.1,-331,-263,-38
Operating Profit Margin Qtr %,2.15%,7.80%,9.68%,6.27%,8.03%,2.42%,11.91%,-37.08%,-95.81%,-36.88%,-4.60%
Depreciation Qtr Cr,89.2,83.9,83.5,83.1,82.5,46.4,53,54.1,132,117.7,136.4
Interest Qtr Cr,114,116,118.8,114.5,113.5,115.5,122.5,126.4,115.7,56,17.7
Profit Before Tax Qtr Cr,-142.4,-29.3,12.1,-74.5,-92.4,-118.2,-28.8,4552.5,-8837.5,1632,-189.5
Tax Qtr Cr,0,0,0,0,0,-41.8,0,109.6,1355.3,-0.7,0
Net Profit Qtr Cr,-142.4,-29.3,12.1,-74.5,-92.4,-76.4,-28.8,4442.9,-10192.8,1632.8,-189.5
Basic EPS Qtr Rs,-0.3,-0.1,0,-0.1,-0.2,-0.1,-0.1,15.8,-46.1,2.8,-1.4
