Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Sep-2020,Jun-2020
Total Revenue Qtr cr,297.1,316.9,271.1,255.2,238,274.2,239,134.6
Operating Expenses Qtr Cr,212.7,220.3,190.9,185.5,173.3,208.7,175.7,102.3
Operating Profit Qtr Cr,93.8,96.9,75.3,63.4,60.4,63,44,33.1
Operating Profit Margin Qtr %,30.61%,30.54%,28.29%,25.48%,25.85%,23.18%,20.04%,24.42%
Depreciation Qtr Cr,15.7,15.4,15.5,14.8,14.4,13.3,12.7,12.5
Interest Qtr Cr,12.2,13.8,5.2,5.2,6.6,19,17.3,17.9
Profit Before Tax Qtr Cr,56.5,67.3,59.5,49.6,43.7,33.1,33.3,2
Tax Qtr Cr,19.1,22.2,21.6,13.8,11.7,10.9,7.3,1.7
Net Profit Qtr Cr,37.4,45.1,37.9,35.8,32,22.2,26,0.3
Basic EPS Qtr Rs,3.7,4.5,3.8,3.6,3.2,2.7,5.2,0.1
