Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,236.4,235.6,205.9,200.6,178.3,212.8,203.2,214.2,196.2,198.3,227.3
Operating Expenses Qtr Cr,204.4,194,185.9,179.8,159.8,169.8,169.5,173.7,165,180.1,187.1
Operating Profit Qtr Cr,28,38,14.7,17.9,15.6,40.4,30.7,35.8,28.6,14.8,36.8
Operating Profit Margin Qtr %,12.04%,16.36%,7.31%,9.06%,8.91%,19.22%,15.35%,17.07%,14.76%,7.59%,16.42%
Depreciation Qtr Cr,4.6,4.4,3.5,4.3,4.8,5.8,5.1,4.6,4.6,4.5,4.8
Interest Qtr Cr,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Profit Before Tax Qtr Cr,27.3,37,16.3,16.2,13.5,36.8,28.3,35.6,26.4,13.4,35.2
Tax Qtr Cr,7.1,9,4.8,4.3,3.3,9.6,7.2,9.2,7.7,3.8,8.5
Net Profit Qtr Cr,20.2,28,11.4,11.9,10.2,27.3,21.1,26.3,18.6,9.6,26.7
Basic EPS Qtr Rs,8.1,11.2,4.6,4.8,4.1,10.9,8.4,10.5,7.5,3.8,10.7
