Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2825.6,3300.5,2754.3,2965.6,2920.8,4381.4,3875.8,4573,3545.3,3780.9,3383.7
Operating Expenses Qtr Cr,2544.7,2380.2,2407.1,2543.4,2466,3138,2737.1,3317.2,2454.9,2771.7,2694.5
Operating Profit Qtr Cr,242.3,507,215.9,339.7,427.7,976,973.8,1207.1,964.8,848.6,651.2
Operating Profit Margin Qtr %,8.69%,17.56%,8.23%,11.78%,14.78%,23.72%,26.24%,26.68%,28.21%,23.44%,19.46%
Depreciation Qtr Cr,103,101.2,101.2,98.2,114.7,124.1,120.6,120.1,119.8,118.8,118.5
Interest Qtr Cr,7.8,4.9,3.5,3.4,5.1,5.9,5.8,6.4,10.4,17.5,21.3
Profit Before Tax Qtr Cr,170.1,739.5,242.5,320.5,335.1,1113.5,1012.2,1129.2,960.2,872.9,549.3
Tax Qtr Cr,47.9,-62.7,2.6,122.8,120,240.9,271.7,327.7,245.5,147.8,130.2
Net Profit Qtr Cr,122.2,802.2,239.8,197.7,215.1,872.6,740.5,801.5,714.7,725,419.1
Basic EPS Qtr Rs,2.1,13.7,4.1,3.4,3.7,14.9,12.6,13.7,12.2,12.4,7.2
