Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,9843.8,8645.5,9097.3,7682.6,5068,7355.7,7481.9,5274,3884.6,6229.1,6758.9
Operating Expenses Qtr Cr,8799,7864.1,8196.8,6979.5,4810.5,6686.5,6741.3,4893.3,3724.4,5775.9,6158.8
Operating Profit Qtr Cr,1007.9,742,868.2,670.1,221.2,616.6,691.4,324.9,108.9,417.7,593.1
Operating Profit Margin Qtr %,10.28%,8.62%,9.58%,8.76%,4.40%,8.44%,9.30%,6.23%,2.84%,6.74%,8.78%
Depreciation Qtr Cr,123.3,123.2,108,97.1,92.7,94.6,100.2,90.4,86.1,94.8,86.7
Interest Qtr Cr,11.7,11.7,10.5,9,8.4,10.3,8.7,7.9,7.5,12.4,16
Profit Before Tax Qtr Cr,909.8,646.4,782,597,156.3,564.2,631.6,282.4,66.6,346,497.3
Tax Qtr Cr,230.2,180.1,196.2,148.2,41.2,129.3,161.3,71.9,17,59.1,103.1
Net Profit Qtr Cr,679.6,466.4,585.8,448.9,115.1,434.9,470.2,210.6,49.6,286.9,394.3
Basic EPS Qtr Rs,10.5,7.2,9,6.9,1.8,6.7,7.3,3.2,0.8,4.5,6.3
