Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,3891.1,3400.6,3298.3,3408.6,3016.3,2809.8,2429.2,2398.4,1771.7,1860.7,2018.2
Operating Expenses Qtr Cr,3577.1,3174.5,3114.5,3176.3,2723,2586.3,2193,2238.1,1754.5,1772.8,1975.1
Operating Profit Qtr Cr,310.6,215.1,177.3,229.2,289.9,219.3,231.3,157.7,15.2,75.8,39.3
Operating Profit Margin Qtr %,7.99%,6.35%,5.39%,6.73%,9.62%,7.82%,9.54%,6.58%,0.86%,4.10%,1.95%
Depreciation Qtr Cr,44.6,43.6,42.4,43,41.7,42.4,41.9,43,42.7,42.4,46.5
Interest Qtr Cr,5.2,4,4.2,6.1,3.1,10.5,6.2,8.6,12.2,15.9,20.7
Profit Before Tax Qtr Cr,264.1,178.5,149.8,183.2,248.4,149.1,188,532.4,-37.8,29.2,-38.9
Tax Qtr Cr,67.4,28.7,39.4,45.9,51.2,93.3,78.9,121.4,-8.7,-11.2,-6.5
Net Profit Qtr Cr,196.8,149.8,110.4,137.3,197.3,55.8,109.1,411,-29.1,40.4,-32.4
Basic EPS Qtr Rs,45.5,34.6,25.5,31.7,45.6,12.9,25.2,94.9,-6.7,9.3,-4.6
