Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,8324.3,8263.7,9294.4,9080.5,7715.3,8879.7,9279.1,7441.7,3417.1,7348.5,8005.9
Operating Expenses Qtr Cr,6707.9,6609.2,7649.5,7361.1,6266.3,7072,7180.3,5889.6,2670.7,5563.1,6272.4
Operating Profit Qtr Cr,1297,1365.6,1372.1,1401.1,1119.8,1524.1,1729.6,1266.2,408.5,1252.8,1367.2
Operating Profit Margin Qtr %,16.20%,17.12%,15.21%,15.99%,15.16%,17.73%,19.41%,17.70%,13.27%,18.38%,17.90%
Depreciation Qtr Cr,67.3,69.7,69.8,65.6,64.1,66.2,65,64.3,63.8,63.3,61.7
Interest Qtr Cr,4.3,2.9,1.8,1.7,2.3,2,1,2.6,0.9,0.9,0.5
Profit Before Tax Qtr Cr,1544.7,1897.2,1573.3,1652.1,1382.7,1739.5,2032.8,1485.1,681.7,1721.2,1671.3
Tax Qtr Cr,371.4,428.2,359.1,377.6,321.5,407.4,476.5,346.9,153.6,410.9,409.7
Net Profit Qtr Cr,1173.3,1469,1214.2,1274.5,1061.2,1332.1,1556.3,1138.2,528,1310.3,1261.6
Basic EPS Qtr Rs,40.6,50.8,42,44.1,36.7,46.1,53.8,39.3,18.3,45.3,43.6
