Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,3272.5,6388.7,3753,3726.4,1679.2,6965.5,2319.4,3216.1,1689,5834.1,2304.2
Operating Expenses Qtr Cr,2599.3,4757.1,2871.6,2804.1,1571.7,4937.8,1855.9,2565.2,1523.9,4323.3,1916.3
Operating Profit Qtr Cr,513.5,1567.8,822.1,856.5,62.9,1970.6,440.4,623.5,146.7,1482.6,354.7
Operating Profit Margin Qtr %,16.50%,24.79%,22.26%,23.40%,3.85%,28.52%,19.18%,19.55%,8.78%,25.54%,15.62%
Depreciation Qtr Cr,94.1,101,92.9,94.1,92.2,91.7,94.5,91.4,88.8,95,86.1
Interest Qtr Cr,1,4,0.2,0.5,0.1,5.5,0.2,0.3,0.1,1.6,0.1
Profit Before Tax Qtr Cr,578.1,1526.6,788.3,827.7,15.2,1930.5,368.8,559.2,76.2,1414.2,301.7
Tax Qtr Cr,146.6,384.8,205,215.1,4,578.1,107,162.2,22.1,379.7,86.6
Net Profit Qtr Cr,431.5,1141.8,583.4,612.6,11.2,1352.4,261.9,397.1,54.1,1034.5,215.1
Basic EPS Qtr Rs,1.8,4.7,2.4,2.5,0.1,5.5,1.1,1.6,0.2,4.2,0.9
