Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1785.3,1740.2,1637.9,1638.8,1405.1,1339.3,1071,912.8,468.9,912.7,1116.5
Operating Expenses Qtr Cr,1324.3,1242.9,1194.2,1121.3,980.5,948.3,820.9,724.9,429.8,770.9,841.1
Operating Profit Qtr Cr,435.1,431.2,407.9,485.3,391.4,359.1,214.8,156.5,-2.8,110.3,235.6
Operating Profit Margin Qtr %,24.73%,25.76%,25.46%,30.21%,28.53%,27.47%,20.74%,17.76%,-0.66%,12.52%,21.88%
Depreciation Qtr Cr,106.4,104.2,103.1,102.6,101.9,100.6,96.3,88.3,80.8,84.7,82.3
Interest Qtr Cr,26.3,40.7,11.8,14.2,40.6,13.7,26.8,7.5,29.9,41.5,35.6
Profit Before Tax Qtr Cr,325.2,349.9,424.7,400.8,220.6,276,121.4,89.2,-71.6,-78.3,157.5
Tax Qtr Cr,81.5,87.9,87.3,89.1,53.9,70.5,28.7,18.9,-15.3,-5,29.7
Net Profit Qtr Cr,243.7,262,337.4,311.8,166.7,205.4,92.7,70.2,-56.3,-73.3,127.8
Basic EPS Qtr Rs,5.2,5.6,7.2,6.7,3.6,4.4,2,1.5,-1.2,-1.6,2.7
