Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,661.3,718.7,713.8,604.6,267,644.8,551.5,259.8,180.8,478.1,383
Operating Expenses Qtr Cr,486.7,535.9,495.3,436.1,176.9,449.1,400.1,157.8,114.5,341.4,239.9
Operating Profit Qtr Cr,137.6,140.5,184.5,128.8,62.8,164.4,124.7,75.6,37.8,99.2,111.9
Operating Profit Margin Qtr %,22.05%,20.77%,27.14%,22.80%,26.20%,26.79%,23.76%,32.38%,24.80%,22.51%,31.81%
Depreciation Qtr Cr,18.6,19.9,22.1,22.4,19.9,22.7,23.1,20.6,20.2,17.7,21.5
Interest Qtr Cr,32.2,33.5,33.5,36.3,39.4,45.4,50.6,51.5,50.1,48.4,50.9
Profit Before Tax Qtr Cr,153.7,129.3,162.8,109.8,30.9,114.1,37.7,30,-4,56.1,70.7
Tax Qtr Cr,39.3,45.4,42.7,27.8,8.2,15.4,11,7.6,-0.9,15.5,-10.1
Net Profit Qtr Cr,114.4,83.9,120.2,82.1,22.7,98.6,26.7,22.4,-3.2,40.6,80.8
Basic EPS Qtr Rs,5,3.6,5.2,3.6,1.1,4.7,1.3,1.1,-0.1,2,4
