Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,23352,22323.1,21312.3,21331.5,21210.1,21522.6,21479.9,20836.7,20685.9,14222.4,14001.6
Operating Expenses Qtr Cr,5353.8,5265.4,4754.1,4938,4834.4,5093.7,4972.9,4811.4,4460.2,3452.6,2807.4
Operating Profit Qtr Cr,1430.9,1740.4,2190.8,1335.8,1312.2,495.5,1108,1485.2,1635.3,-134.1,627.6
Operating Profit Margin Qtr %,7.87%,9.74%,12.38%,7.83%,7.82%,3.04%,6.44%,8.40%,9.07%,-1.11%,5.10%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,11391.9,10855.7,10755.6,10789.9,10625,10726.3,11125.5,11385.6,11940.3,8728.9,8859.9
Profit Before Tax Qtr Cr,2916.2,2493.3,2202.8,2243.4,2022.1,1568.4,1056.8,623,459.1,-3334.5,531.4
Tax Qtr Cr,894.1,827,700.7,910.8,844.7,557.5,360.7,178.5,52.9,-75.2,201.8
Net Profit Qtr Cr,2022,1666.2,1502.1,1332.6,1177.5,1010.9,696.1,444.4,406.2,-3259.3,329.6
Basic EPS Qtr Rs,11.2,9.2,8.3,7.8,7.2,6.1,4.7,3.1,2.8,-31.6,4.2
