Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,218,230.7,195.7,170.8,156.7,142.1,149.2,147,137.7,145.8,147.1
Operating Expenses Qtr Cr,77.7,76.6,52.8,49.8,40.5,41.2,32,26.4,20.3,35.7,32.2
Operating Profit Qtr Cr,120.5,110.5,122.2,111.2,107.9,80.2,107.4,120.2,100.5,96.2,109.1
Operating Profit Margin Qtr %,55.50%,48.12%,63.46%,66.39%,69.03%,56.56%,72.34%,81.93%,73.14%,66.13%,74.46%
Depreciation Qtr Cr,2.6,2.9,2,0.7,1.7,2.8,1.9,1.9,1.9,2.2,2.2
Interest Qtr Cr,72.1,64.5,57.9,57.1,56,54.9,52.6,48.8,52.2,53,54.3
Profit Before Tax Qtr Cr,46.6,44.2,65.4,56.6,50.6,22.8,53.6,69.8,46.8,41.3,53.3
Tax Qtr Cr,12.1,10.1,16.9,15.2,12.8,5.9,13.8,17.9,11.8,12.4,13
Net Profit Qtr Cr,34.6,34,48.5,41.5,37.9,16.8,39.8,51.9,35,28.9,40.2
Basic EPS Qtr Rs,2,1.9,2.8,2.4,2.2,1,2.3,3,2,1.6,2.3
