Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1198.3,1223.1,1075.9,1040.1,857.9,839.2,809.9,628.3,412.8,806,889.1
Operating Expenses Qtr Cr,1027.2,1051.7,939.4,880.1,721,735.2,680.8,543,365.3,676.7,707.5
Operating Profit Qtr Cr,160.6,158,125.3,132.8,121,93.1,91,68.1,34.2,109.9,169.9
Operating Profit Margin Qtr %,13.52%,13.06%,11.77%,13.11%,14.37%,11.24%,11.79%,11.14%,8.55%,13.97%,19.36%
Depreciation Qtr Cr,55.2,56,58.2,57.4,56.4,57.2,57.8,57.3,56.7,57.4,57.9
Interest Qtr Cr,18.8,20.2,18.2,18.2,18.4,20.5,20.6,21.6,25.6,29,25.6
Profit Before Tax Qtr Cr,97,95.2,60,84.3,62.1,26.3,50.7,6.5,-34.9,42.9,98.1
Tax Qtr Cr,34,28.5,21.5,29.9,22,11.4,-2.4,1.7,-12.1,-73.7,35
Net Profit Qtr Cr,63.1,66.7,38.5,66.2,35.9,10,48,0.4,-26.9,114,57.4
Basic EPS Qtr Rs,5.7,6,3.5,5.9,3.2,0.9,4.3,0,-2.4,10.2,5.2
