Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Dec-2020
Total Revenue Qtr cr,245,212,188.3,161.8,152.8,132.5
Operating Expenses Qtr Cr,142.7,120.8,104.7,84.4,75,62.9
Operating Profit Qtr Cr,91.3,83.8,76.1,68.7,71.3,62.5
Operating Profit Margin Qtr %,39.02%,40.97%,42.10%,44.88%,48.76%,49.84%
Depreciation Qtr Cr,8.5,7,6,6.1,5.8,4.7
Interest Qtr Cr,0,0.1,0,0,0,0.1
Profit Before Tax Qtr Cr,93.8,84,77.6,71.2,72.1,64.8
Tax Qtr Cr,23.4,21.5,19.6,17.7,17.5,15.8
Net Profit Qtr Cr,70.4,62.5,58,53.5,54.6,49.1
Basic EPS Qtr Rs,6.6,5.9,5.5,5,5.1,4.6
