Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2041.2,2112.4,1983.2,1898.9,1863.1,2012.5,1836,1574,1247.9,1663.8,1590.2
Operating Expenses Qtr Cr,1506,1630.3,1464.3,1397.5,1374,1750.3,1382,1189.8,1030.1,1094.2,1155.9
Operating Profit Qtr Cr,472.3,412.8,455.6,426.5,433.5,189,371.9,312.9,159,474.5,371.7
Operating Profit Margin Qtr %,23.88%,20.20%,23.73%,23.38%,23.98%,9.75%,21.20%,20.83%,13.37%,30.25%,24.33%
Depreciation Qtr Cr,131.2,130.9,132.4,136.2,130.3,132.4,136.4,127.2,126,133.6,126.3
Interest Qtr Cr,13.9,14,13.2,13.5,13.9,8.6,8.4,8.5,8.5,10.8,6
Profit Before Tax Qtr Cr,390.1,337.2,373.3,351.7,344.8,37.9,309.3,248.6,83.3,404.7,302.1
Tax Qtr Cr,98.8,80.4,86.7,87.6,89.9,21.7,71.4,61,21.7,110.2,126.6
Net Profit Qtr Cr,291.3,256.9,286.5,264.1,254.9,16.2,237.9,187.6,61.7,294.5,175.5
Basic EPS Qtr Rs,4.8,4.2,4.7,4.3,4.2,0.3,3.9,3.1,1,4.8,2.9
