Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,5775.5,4294.1,5093.1,6184.1,3666.2,2856.6,3521.2,4605.4,3222.2,2863.6,3284.6
Operating Expenses Qtr Cr,5038.8,3947.5,4524.6,5425.5,3165.2,2582.9,3020.1,3759.2,2799.7,2465.8,2845.5
Operating Profit Qtr Cr,683.4,269.8,543.1,740,480,258.3,492.6,837.4,412.6,388,430.2
Operating Profit Margin Qtr %,11.94%,6.40%,10.72%,12.00%,13.17%,9.09%,14.02%,18.22%,12.85%,13.60%,13.13%
Depreciation Qtr Cr,44.4,43.3,42.5,41.8,41.9,46.4,42,41.8,42,44.9,40.6
Interest Qtr Cr,26.6,21.4,17.8,19.2,17.1,16.4,20.6,26.4,42.4,43.4,45.9
Profit Before Tax Qtr Cr,665.8,281.9,508.1,697.6,442,210.8,438.6,778,338.1,309.6,352.6
Tax Qtr Cr,170.1,98.5,129.1,178.2,112.9,54.5,112.6,196.5,89.7,78.8,89.9
Net Profit Qtr Cr,495.7,183.4,379,519.4,329.2,156.3,326,581.5,248.4,230.8,262.7
Basic EPS Qtr Rs,16.9,6.2,12.9,17.7,11.2,5.3,11.1,19.8,8.5,7.9,9
