Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2263.9,1944.5,2305.5,2217.1,2054,1792.4,2139.2,1974.1,1555.7,1388.2,1815.5
Operating Expenses Qtr Cr,1752,1523,1737.7,1639.5,1545.5,1389.2,1618.2,1454.7,1163.4,1023,1356.6
Operating Profit Qtr Cr,427.7,329.4,486.7,480.4,437.3,332.7,452.9,446.2,327.5,298.1,391.5
Operating Profit Margin Qtr %,19.62%,17.78%,21.88%,22.66%,22.06%,19.32%,21.87%,23.47%,21.96%,22.56%,22.40%
Depreciation Qtr Cr,44,41.4,40.4,40,38.6,37.4,35.9,36,34.1,33.2,32.6
Interest Qtr Cr,7,6.6,6.3,3.5,2.3,3,1.7,1.9,2.5,2.6,4.7
Profit Before Tax Qtr Cr,460.9,373.6,521.1,534,467.6,362.8,483.4,481.4,355.7,309.3,401.5
Tax Qtr Cr,110.8,81.8,127.5,138.9,115.2,62.5,83.9,88.8,66.3,52.3,71.5
Net Profit Qtr Cr,350.1,291.8,393.6,395.2,352.4,300.3,399.5,392.7,289.4,257,330
Basic EPS Qtr Rs,2,1.6,2.2,2.2,2,1.7,2.3,2.2,1.6,1.4,1.9
