Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,736.3,1049.1,706.2,555.1,461.7,700.3,454.6,746.6,508.2,635.1,456.7
Operating Expenses Qtr Cr,725.3,740.2,634.2,439.9,466.1,406.6,423.9,520.6,502.6,447.4,429.8
Operating Profit Qtr Cr,-3.6,182.1,52,-1.8,-16.4,157.7,15.4,8.9,-11.5,161,7.6
Operating Profit Margin Qtr %,-0.49%,19.74%,7.57%,-0.41%,-3.64%,27.94%,3.51%,1.68%,-2.34%,26.46%,1.74%
Depreciation Qtr Cr,32.9,31.7,30.5,29.8,28.1,27.7,30.9,30.8,30.6,30.3,30.6
Interest Qtr Cr,7.9,10.2,11.5,13,11.5,17.4,20,22.6,32.6,39,30.6
Profit Before Tax Qtr Cr,14.4,267.1,16.3,72.5,-43.9,234.3,346.3,172.5,305.3,118.4,-34.4
Tax Qtr Cr,1.2,41.9,-2,-0.7,-10.8,65.7,7.1,41.1,79.6,49.5,-14.4
Net Profit Qtr Cr,13.1,225.1,18.3,73.2,-33.1,168.6,339.2,131.4,225.7,68.8,-20
Basic EPS Qtr Rs,0.7,12.7,1,4.1,-1.9,9.5,19.2,7.4,12.8,3.9,-1.1
