Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,832.2,853.8,719.8,676.3,757.4,1160.7,884.7,736.7,517.5,922.3,956.3
Operating Expenses Qtr Cr,758.9,698.1,619.1,587.5,630.6,952.7,761.7,606.2,446.4,742.8,805
Operating Profit Qtr Cr,46,108,62.5,60.3,104.3,164,75.1,77.3,21.4,111,85.6
Operating Profit Margin Qtr %,5.72%,13.40%,9.17%,9.31%,14.20%,14.69%,8.97%,11.30%,4.58%,13.01%,9.61%
Depreciation Qtr Cr,5.1,5.2,7.8,5.3,4.9,7.1,5.1,6,5.3,6.7,5.6
Interest Qtr Cr,0.1,0.1,0.2,0.2,0.3,2.4,0.4,0.5,0.4,0.6,0.4
Profit Before Tax Qtr Cr,68,150.3,92.6,83.2,121.7,43.6,117.6,124.1,65.3,172.2,145.3
Tax Qtr Cr,17.5,24.1,24.6,23.8,31.1,13.1,29.4,31.4,17.2,42.5,36.6
Net Profit Qtr Cr,50.5,126.3,68,59.5,90.6,30.5,88.2,92.7,48.1,129.7,108.7
Basic EPS Qtr Rs,0.9,2.2,1.2,1.1,1.6,0.5,1.4,1.5,0.8,2,1.7
