Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020
Total Revenue Qtr cr,67.9,101.9,69.1,70,6.2,51.7,65.3,55.2,33.8
Operating Expenses Qtr Cr,53.3,47,45.3,44.2,3.5,44.1,38,40.8,25.8
Operating Profit Qtr Cr,-15.6,2.9,-0.4,5.2,0.9,-5.4,5.2,-0.2,-2.5
Operating Profit Margin Qtr %,-41.52%,5.82%,-0.81%,10.57%,20.23%,-14.02%,12.13%,-0.42%,-10.85%
Depreciation Qtr Cr,1.4,1.2,1.2,1.1,0.1,2.3,2.4,2,1.7
Interest Qtr Cr,1.8,1.7,1.4,1.4,0.1,1,1,1,1.1
Profit Before Tax Qtr Cr,11.3,51.9,21.3,23.3,2.5,4.3,24,11.4,5.2
Tax Qtr Cr,2.3,3.3,4.5,5,0.5,1.4,4.2,2,1.1
Net Profit Qtr Cr,9.1,48.7,16.8,18.3,2,2.9,19.8,9.4,4.1
Basic EPS Qtr Rs,0.2,1,0.4,0.4,0.5,0.1,1.3,0.2,0.3
