Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1315.1,1727.8,1240.3,808.2,766.2,843.5,856.9,1060.5,565.5,723.3,1758.1
Operating Expenses Qtr Cr,1109.7,1395.4,1098.5,677.1,657.5,623.8,654.1,911.1,517.4,589.8,683.5
Operating Profit Qtr Cr,182.7,297.1,110,104.5,84.6,197.3,184.9,135.7,34.4,118.7,95.8
Operating Profit Margin Qtr %,14.14%,17.55%,9.10%,13.37%,11.40%,24.03%,22.04%,12.96%,6.23%,16.75%,12.29%
Depreciation Qtr Cr,6.9,8.7,7,3.8,7.6,7.9,4.9,4.9,5,4.5,4.5
Interest Qtr Cr,61.6,59.7,61.9,61.6,61.2,62.1,61.2,61.3,60.7,62.4,87.2
Profit Before Tax Qtr Cr,137,233.4,43.6,36.5,39.8,149.8,136.7,83.1,-17.6,66.5,983
Tax Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Net Profit Qtr Cr,137,233.4,43.6,36.5,39.8,149.8,136.7,83.1,-17.6,66.5,983
Basic EPS Qtr Rs,2.1,3.6,0.7,0.6,0.6,2.3,2.1,1.3,-0.3,1,15.2
