Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,769.1,615.1,474.9,435.8,365.9,327.7,303.6,269.8,237.2,247.1,271.4
Operating Expenses Qtr Cr,547,454.7,388.5,356.7,310,275.8,252.4,217.1,184,187,208.3
Operating Profit Qtr Cr,205.6,146.1,79.7,72.8,49.9,45.9,45.8,48.8,51.6,55.4,57.6
Operating Profit Margin Qtr %,27.31%,24.32%,17.02%,16.96%,13.86%,14.28%,15.36%,18.34%,21.89%,22.87%,21.65%
Depreciation Qtr Cr,11.1,10.6,10.1,9.8,9.5,12.4,11.9,11.4,11.1,12.7,12.1
Interest Qtr Cr,1.1,1.3,1.2,1.2,1.3,1.2,1.5,1.6,1.7,1.6,2.1
Profit Before Tax Qtr Cr,209.9,148.6,75,68.1,45.1,38.4,37.8,39.8,40.3,45.8,48.9
Tax Qtr Cr,52.6,38.5,19.3,18.1,10.1,9.5,9.7,10.3,11.7,12.3,12
Net Profit Qtr Cr,157.3,110.1,55.7,50,34.9,28.9,28,29.5,28.6,33.5,36.8
Basic EPS Qtr Rs,51.3,35.9,18.2,16.3,11.4,9.4,9.1,9.6,9.3,10.9,12
