Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,37742.2,27385.3,26421.5,22289.3,17581.5,16114.6,15925.1,14366.7,12328.2,18266.3,18079.7
Operating Expenses Qtr Cr,33196.8,23247.3,21541.6,18040.2,14972.6,12981.4,13534.8,12304.6,11464.3,15277.8,15695
Operating Profit Qtr Cr,4365.7,3714.5,4228.1,3475.1,2411.3,2564.8,1919.5,1338.1,622.6,2475.4,2072.4
Operating Profit Margin Qtr %,11.62%,13.78%,16.41%,16.15%,13.87%,16.50%,12.42%,9.81%,5.15%,13.94%,11.66%
Depreciation Qtr Cr,603,546.1,532.2,524.4,508.6,475.8,489.5,484.3,458.3,501.6,488.9
Interest Qtr Cr,48.1,46.1,39.4,42.4,46.6,45.9,33.1,27.4,49.5,32.9,24.2
Profit Before Tax Qtr Cr,3894.4,3545.9,4308.4,3682.3,2053.7,2611.6,1867.7,1550.3,356.2,2555.7,1871.6
Tax Qtr Cr,979.2,862.8,1020.4,819.4,523.8,703.9,380.4,310.7,100.7,-462.5,621
Net Profit Qtr Cr,2915.2,2683.1,3288,2862.9,1529.9,1907.7,1487.3,1239.7,255.5,3018.2,1250.7
Basic EPS Qtr Rs,6.6,6,7.4,6.5,3.5,4.2,3.3,2.8,0.6,6.7,2.8
