Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,13079.6,10857.4,11204.8,13101.5,13343.4,9767.5,11776.8,12049.6,-613,1521.2,-714.9
Operating Expenses Qtr Cr,11865.6,5673.5,11309.6,11823.5,14320.3,8102.1,10174.9,11488.6,0.2,52.2,14.2
Operating Profit Qtr Cr,535.9,3404.3,-128.3,1192.2,-1361.2,2137.8,1503.7,621.4,-826.7,1025.8,-1081.5
Operating Profit Margin Qtr %,4.24%,31.97%,-1.15%,9.11%,-10.35%,21.68%,12.78%,5.07%,131.53%,70.95%,148.06%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Profit Before Tax Qtr Cr,988.7,3614.8,-101.7,1213.8,-1166.7,2045.5,1516.8,412.3,-811.2,1101.1,-1065.9
Tax Qtr Cr,299,1819.4,-73.2,203.2,-395,785,529.4,182.2,-253.8,-96.3,3.7
Net Profit Qtr Cr,689.7,1795.4,-28.5,1010.5,-771.7,1260.4,987.4,230.1,-557.5,1197.4,-1069.6
Basic EPS Qtr Rs,3.9,10.2,-0.2,6,-4.4,7.2,5.6,1.3,-3.2,6.8,-6.1
