Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,829.3,746.4,893.4,801.2,756.1,847.5,863.4,714.9,496.8,621.3,780
Operating Expenses Qtr Cr,621.2,558.1,691.3,623.3,586.9,673.3,670.9,546.5,397.8,500.9,590.8
Operating Profit Qtr Cr,206,164.4,175.3,143.4,143.9,157.3,156.3,144.6,58.1,90,161.4
Operating Profit Margin Qtr %,24.90%,22.76%,20.23%,18.71%,19.69%,18.94%,18.90%,20.93%,12.74%,15.23%,21.46%
Depreciation Qtr Cr,37.7,36.4,36.7,34.9,34.2,38.4,33.2,33.4,33.5,46.9,35.9
Interest Qtr Cr,6.4,11.3,7.6,7.5,7.4,9.4,7,7.1,7.3,7.3,7.7
Profit Before Tax Qtr Cr,164,140.7,157.8,135.5,127.5,126.4,152.3,128,58.2,66.2,145.6
Tax Qtr Cr,27.9,36.8,39.9,33.5,19.5,31,38.2,32.4,6.5,17.9,36.1
Net Profit Qtr Cr,136.2,103.9,118,102,108.1,95.4,114.2,95.6,51.8,48.3,109.4
Basic EPS Qtr Rs,26.2,20,22.7,19.6,20.8,18.4,22,18.4,10,9.3,21.1
