Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1164.9,740.4,773.6,788.1,679.2,626.7,696.4,623.6,1025.1,916.7,941.9
Operating Expenses Qtr Cr,549.3,382,342.8,326.7,387.1,313.4,305.8,227.9,367.5,723.9,405.8
Operating Profit Qtr Cr,614,341.3,416,396.2,239.9,263.9,286.4,371.2,538,85.3,455.3
Operating Profit Margin Qtr %,52.78%,47.19%,54.83%,54.81%,38.26%,45.71%,48.37%,61.96%,59.42%,10.54%,52.87%
Depreciation Qtr Cr,114.2,85.8,117.4,117.7,115,102.7,111.4,108.6,116,104.8,121.5
Interest Qtr Cr,71.5,80.8,59.9,61.5,74.1,62.8,63.9,63,63,78.7,72.9
Profit Before Tax Qtr Cr,430,191.8,253.6,282.2,103,147.7,215.3,224.1,478.7,9.3,341.7
Tax Qtr Cr,1.6,5.4,0.8,8.9,3.7,3.2,10.9,8.2,13.4,21.8,3
Net Profit Qtr Cr,428.4,186.4,252.8,273.2,99.3,144.5,204.4,216,465.3,-12.6,338.7
Basic EPS Qtr Rs,30,12.9,17.2,18.6,6.8,9.8,13.9,14.7,31.7,-0.8,23
