Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,5930.8,16202.5,14401.3,20680.3,14863.6,19462.6,21269.5,354.8,443.3,556.2,282.1
Operating Expenses Qtr Cr,5557.9,15669.4,14127.5,20477.9,14844.7,19278.8,20884.1,21.8,6.8,92.7,15.5
Operating Profit Qtr Cr,327.3,160.7,179.1,92.3,137,-17.5,397.2,326.2,451.2,265.9,263.6
Operating Profit Margin Qtr %,5.56%,1.01%,1.25%,0.45%,0.93%,-0.09%,1.87%,91.95%,101.78%,49.46%,93.44%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Profit Before Tax Qtr Cr,372.2,528.8,295.1,251.8,239.2,290.4,442.8,326.2,451.2,284.5,263.6
Tax Qtr Cr,21.2,118.9,19.8,15.7,2.6,-174.9,43.4,0.1,0.1,-27.2,13.4
Net Profit Qtr Cr,365.3,357.5,273.6,274.2,302.4,317.9,265,326.1,451.1,311.7,250.2
Basic EPS Qtr Rs,1.7,1.8,1.4,1.4,1.5,1.6,1.3,1.6,2.2,1.5,1.2
