Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,971.1,1098.5,1110.6,1008.2,1112.9,1282.9,1192.2,987.3,659.4,616.8,821
Operating Expenses Qtr Cr,864.8,970.3,971.3,869.3,947.9,1117.7,1042.9,872.5,586.8,562,722.2
Operating Profit Qtr Cr,86.5,95.7,136.1,135.6,160.3,159.2,146,111.3,69.5,48.7,90.6
Operating Profit Margin Qtr %,9.09%,8.98%,12.29%,13.50%,14.47%,12.47%,12.28%,11.32%,10.58%,7.98%,11.15%
Depreciation Qtr Cr,14.4,16.8,14.3,13.2,13,13.8,13.2,13.5,13.1,11.6,7
Interest Qtr Cr,28.5,28.4,30.2,32,42,42.1,38,36.6,31.5,26,17.7
Profit Before Tax Qtr Cr,63.4,83,94.8,93.8,110,109.2,97.3,61.9,27.5,17.2,74.1
Tax Qtr Cr,15.4,21.1,24.7,23.6,29.5,26.8,22.2,17.1,6.9,15.2,24.4
Net Profit Qtr Cr,48,61.9,70.1,70.2,80.5,82.5,75,44.7,20.6,2,49.6
Basic EPS Qtr Rs,0.3,0.5,0.5,0.5,0.6,0.6,0.6,0.3,0.2,0,0.4
