Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,311.9,297.2,274.3,260,239.7,211.3,201.3,187.9,186.2,190.2,175.6
Operating Expenses Qtr Cr,232.2,213.6,205.6,191.6,176.7,153.2,141.6,138.5,139.8,164.9,147.3
Operating Profit Qtr Cr,75.6,73.2,60.3,58.8,53.7,55,51.2,44.3,37.3,21.4,24.2
Operating Profit Margin Qtr %,24.56%,25.52%,22.69%,23.48%,23.31%,26.43%,26.57%,24.24%,21.05%,11.48%,14.10%
Depreciation Qtr Cr,7.1,6.7,6.3,6.2,5.1,5.2,5.2,5.1,5.1,5.1,5.1
Interest Qtr Cr,2.4,2.2,2.4,2.4,1.6,2.2,1.3,1.6,1.9,2.1,1.6
Profit Before Tax Qtr Cr,70.3,80.8,60,59.8,50.2,50.6,53.3,42.7,39.4,6.8,21.5
Tax Qtr Cr,17.7,18.6,15.3,15.3,15.2,13.7,11.1,8.6,-9.3,1.9,0
Net Profit Qtr Cr,52.5,62.2,44.8,44.5,35,36.9,42.1,34.1,48.8,4.9,21.5
Basic EPS Qtr Rs,3.7,4.4,3.1,3.1,2.5,2.6,3,2.5,3.6,1.1,1.6
