Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,359.1,561.5,555.4,476.6,278.7,531.5,546.7,302,441.4,166.5,106.5
Operating Expenses Qtr Cr,221.7,393.1,412.9,357.9,147.4,491.5,321.5,220,345.3,559.8,134.4
Operating Profit Qtr Cr,126.7,152.3,131.5,106.6,120.2,30.7,216.9,74.7,86.1,-412.9,-41.1
Operating Profit Margin Qtr %,36.35%,27.93%,24.16%,22.94%,44.91%,5.89%,40.29%,25.35%,19.96%,-281.22%,-44.02%
Depreciation Qtr Cr,55,54.7,17.4,18.7,59.1,91.7,80.4,67.3,54.1,71.4,78.8
Interest Qtr Cr,4,4.9,5.4,7.8,10.9,11.6,15.7,17.9,17.5,16.6,14.4
Profit Before Tax Qtr Cr,78.4,108.8,119.8,92.2,61.3,-63.2,129.2,-3.2,24.5,-481.4,-121.1
Tax Qtr Cr,21.3,19.8,-52,24.6,15.6,-26.5,20.9,-12.4,-5,33,-25.6
Net Profit Qtr Cr,57.1,89,171.7,67.5,45.6,-36.8,108.2,9.2,29.4,-514.4,-95.6
Basic EPS Qtr Rs,0.6,0.9,1.8,0.7,0.5,-0.4,1.2,0.1,0.3,-5.6,-1
