Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,991.3,1142.1,1137.6,850.6,796.8,1023.8,1043.7,932,634.3,811.9,1115.8
Operating Expenses Qtr Cr,960.4,1047.2,1060.8,775.5,748.1,941.8,972.1,835.3,599,746.2,1001.4
Operating Profit Qtr Cr,25.6,66.3,61.8,73.2,35.7,73.7,71.5,96.7,34.2,65.4,114.2
Operating Profit Margin Qtr %,2.60%,5.95%,5.50%,8.62%,4.55%,7.26%,6.86%,10.37%,5.41%,8.05%,10.24%
Depreciation Qtr Cr,20.5,14.7,22.3,19.3,19,20.2,20,20.9,17.5,18.8,16.5
Interest Qtr Cr,8.3,9.6,7,8.6,8.1,8.1,5.6,6.6,2.9,5.4,16.9
Profit Before Tax Qtr Cr,2.1,70.7,83.3,47.2,21.6,53.7,75.6,6.7,14.3,39.7,42
Tax Qtr Cr,0.8,19,21.7,12.9,5.3,14.3,20.6,2,3.4,10.5,6.5
Net Profit Qtr Cr,1.3,51.7,61.7,34.3,16.3,39.4,55,4.8,10.9,29.2,35.5
Basic EPS Qtr Rs,0.3,12.2,14.6,8.1,3.9,9.3,13,1.1,2.6,6.9,9.6
