Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,5777.4,5384.9,5197.8,4880.3,4938.1,4834,4711.7,3969.1,4316.2,4439.6,4679.1
Operating Expenses Qtr Cr,2662.9,2674,2578.9,2359.3,2032.3,2155.6,1842.2,1485.9,1219.1,1527.5,1352.4
Operating Profit Qtr Cr,88.2,-4.7,1.1,-87.1,152.5,-195.3,-98.3,173.8,406.8,36,181.9
Operating Profit Margin Qtr %,1.79%,-0.10%,0.02%,-2.12%,3.73%,-4.89%,-2.49%,4.57%,10.62%,0.91%,4.44%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,79.2
Interest Qtr Cr,2170.6,1884.4,1849.2,1828.4,1904.5,2032.6,2208.5,2141,2205.5,2392.4,2565.9
Profit Before Tax Qtr Cr,635.8,457.1,377.9,217.6,-877.4,43.1,178.7,126.4,127.5,107.4,-1623
Tax Qtr Cr,161.5,114.3,96.8,65.9,-247.3,-84.7,49.2,25,34,35.8,15.8
Net Profit Qtr Cr,474.3,342.7,281.1,151.7,-630,127.8,129.5,101.4,93.5,71.5,-1638.9
Basic EPS Qtr Rs,0.8,0.6,0.5,0.2,-1,0.2,0.2,0.2,0.2,0.1,-3.4
