Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1454.3,1396.7,1114.2,1193.3,1025.5,1461.4,1162.9,1075.5,760.3,1169.9,1194.4
Operating Expenses Qtr Cr,1415.5,1330.5,1004.4,1056.6,860.5,1249.1,945.1,835,601.3,1084.5,1062.5
Operating Profit Qtr Cr,30.8,61.5,104.1,133.6,162,200.5,215.2,234.7,155.7,67.5,128.7
Operating Profit Margin Qtr %,2.13%,4.41%,9.39%,11.22%,15.84%,13.83%,18.55%,21.94%,20.57%,5.86%,10.80%
Depreciation Qtr Cr,52.2,54.3,54.6,56.4,54.5,61.3,60.5,60.1,60,64.2,61.5
Interest Qtr Cr,58.6,48.3,50.1,51.1,54.5,53,68.5,70.5,73,92.4,80.6
Profit Before Tax Qtr Cr,-72,-36.5,5.2,29.3,56.1,98,88.8,109.8,26.1,-171.1,-10.1
Tax Qtr Cr,-148.1,-12.8,1.9,7.3,18.6,26.4,26.8,38.4,9.1,-60,-4.8
Net Profit Qtr Cr,76.1,-23.7,3.3,22,37.4,71.6,62,71.4,17,-111.1,-5.4
Basic EPS Qtr Rs,2.6,-5.4,0.1,0.7,1.2,2.3,2,2.3,0.6,4.1,-0.1
