Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1750.6,1785.5,2033.2,1916.5,2042.6,2141.6,2216.8,2233.1,2236.8,2627.7,2976.1
Operating Expenses Qtr Cr,114.4,173.9,184.5,152.1,157.6,125.7,182.8,140.8,94.9,153.7,556.2
Operating Profit Qtr Cr,1589,1784.3,1774.5,1630.2,1693.7,1964.9,1896.4,1916.3,1915.4,2757.8,2318.9
Operating Profit Margin Qtr %,91.04%,100.18%,87.40%,85.18%,83.02%,93.99%,85.67%,87.35%,85.81%,105.24%,77.99%
Depreciation Qtr Cr,17.3,19,19.7,17.9,17.8,21.9,24.1,20.8,24,25.3,18.1
Interest Qtr Cr,1374.5,1467.5,1493.9,1466.8,1436.6,1462.1,1547.2,1624.8,1673.9,1950.8,1885.1
Profit Before Tax Qtr Cr,202.4,302.1,263.7,148.2,241.8,532.1,328.1,309.9,222.1,789,418.3
Tax Qtr Cr,51.1,93,73.7,40.3,52.8,126.4,77.6,74.5,55.1,95.5,41
Net Profit Qtr Cr,151.3,209.1,190,107.9,189,405.7,250.5,235.4,166.9,693.5,377.2
Basic EPS Qtr Rs,3.2,4.5,4.1,2.3,4.1,8.8,5.4,5.4,3.9,16.2,8.8
