Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,877,716.8,556.5,421.1,257.9,358.3,245.2,108.7,156.5,606.8,735
Operating Expenses Qtr Cr,531.7,413.7,261,193.4,131.9,192.5,129.7,94.1,175.2,385,450.3
Operating Profit Qtr Cr,320.9,277.3,279.2,211.5,111.5,145.1,94.6,-5.6,-43.9,201.9,265.7
Operating Profit Margin Qtr %,37.64%,40.13%,51.68%,52.23%,45.82%,42.82%,42.18%,-6.31%,-33.39%,34.40%,37.11%
Depreciation Qtr Cr,13.6,13,11.8,11.8,11.2,18.7,9.6,8.9,9,10.4,12.3
Interest Qtr Cr,2.5,3,2.2,2.1,3.8,3.7,1.4,1.3,1.7,2.9,2
Profit Before Tax Qtr Cr,329.3,283.2,281.5,213.7,111.1,139.2,104.4,46.7,-29.4,209,270.4
Tax Qtr Cr,83.8,69.4,72.7,55.1,28.6,35.4,26.3,14,-4.8,58.4,64.6
Net Profit Qtr Cr,245.5,213.8,208.8,158.6,82.5,103.8,78.1,32.6,-24.6,150.6,205.8
Basic EPS Qtr Rs,3.1,2.7,2.6,9.9,5.2,6.5,4.9,2,-1.5,9.4,12.9
