Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,794.3,624.3,807.4,750.6,783.7,718.3,791.4,719.8,323.1,400.2,608.7
Operating Expenses Qtr Cr,637.5,510.4,665,625,608.9,607.3,646.8,592.1,286.5,362.7,530.8
Operating Profit Qtr Cr,137.9,78.1,112.6,97.3,129.5,111,144.5,127.6,36.6,37.5,77.9
Operating Profit Margin Qtr %,17.78%,13.27%,14.48%,13.47%,17.54%,15.46%,18.26%,17.73%,11.33%,9.38%,12.80%
Depreciation Qtr Cr,15.8,7.2,9.7,9.6,9.4,9.8,10.2,10.3,10.1,10.3,10.3
Interest Qtr Cr,13,10.4,13.4,10.9,10.7,10.5,6.8,4.7,5,7.9,9.6
Profit Before Tax Qtr Cr,128.1,96.2,98.4,105.1,154.8,90.8,127.5,112.7,21.6,19.3,21.1
Tax Qtr Cr,32.4,26.1,25.6,26,38.8,26.8,32,28,5.5,4.7,4.5
Net Profit Qtr Cr,95.7,70.1,72.8,79.1,116,64,95.5,84.7,16.1,14.6,16.6
Basic EPS Qtr Rs,4.8,3.5,3.7,4,5.9,3.2,4.8,4.3,0.8,0.7,0.8
