Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,10110.5,9761.9,9614.3,9487.6,9355.8,9199.5,8947,8731,8680.9,9158.6,9073.9
Operating Expenses Qtr Cr,2660.3,2558.7,2465.3,2321.1,2214.2,2253.2,2138.3,2001.3,1967,2167,2117.8
Operating Profit Qtr Cr,1465,1426.5,1328.3,1337.3,1349.5,1281.4,1267.8,1276.7,1342.1,1064.2,956.2
Operating Profit Margin Qtr %,17.91%,18.15%,17.17%,17.48%,17.82%,17.27%,17.51%,17.79%,18.74%,14.41%,13.13%
Depreciation Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Interest Qtr Cr,4056.5,3874.7,3943.9,3992,4011,3884.8,3835.4,3899.2,3852.5,4155.4,4210.5
Profit Before Tax Qtr Cr,2142.7,1865,1551,1471.1,1286.5,1195.8,1119.8,866.1,602.5,395.9,1702.2
Tax Qtr Cr,539.4,503.6,389.8,357.6,311.6,319.9,267,219.1,141.8,94,402
Net Profit Qtr Cr,1603.3,1361.4,1161.3,1113.5,975,876,852.8,647,460.6,301.8,1300.2
Basic EPS Qtr Rs,20.7,17.6,15,14.4,12.6,11.4,11.3,9.1,6.6,4.3,18.8
